symbol,sector,industry,exchange,market_cap_B
UBS,Financial Services,Banks - Diversified,NYQ,113.25
SPOT,Communication Services,Internet Content & Information,NYQ,110.85
PLD,Real Estate,REIT - Industrial,NYQ,110.45
LMT,Industrials,Aerospace & Defense,NYQ,108.97
CB,Financial Services,Insurance - Property & Casualty,NYQ,108.94
MMC,Financial Services,Insurance Brokers,NYQ,106.51
ADI,Technology,Semiconductors,NMS,105.13
LRCX,Technology,Semiconductor Equipment & Materials,NMS,104.15
MU,Technology,Semiconductors,NMS,103.06
GEV,Utilities,Utilities - Renewable,NYQ,102.79
IBN,Financial Services,Banks - Regional,NYQ,102.1
TD,Financial Services,Banks - Diversified,NYQ,100.1
KLAC,Technology,Semiconductor Equipment & Materials,NMS,98.75
RIO,Basic Materials,Other Industrial Metals & Mining,NYQ,98.32
CRWD,Technology,Software - Infrastructure,NMS,98.05
BUD,Consumer Defensive,Beverages - Brewers,NYQ,97.79
MRVL,Technology,Semiconductors,NMS,97.66
SMFG,Financial Services,Banks - Diversified,NYQ,97.56
UPS,Industrials,Integrated Freight & Logistics,NYQ,97.48
MELI,Consumer Cyclical,Internet Retail,NMS,97.45
APO,Financial Services,Asset Management,NYQ,97.18
CEG,Utilities,Utilities - Renewable,NMS,96.53
ENB,Energy,Oil & Gas Midstream,NYQ,94.68
RELX,Industrials,Specialty Business Services,NYQ,92.87
BN,Financial Services,Asset Management,NYQ,92.8
SO,Utilities,Utilities - Regulated Electric,NYQ,91.98
IBKR,Financial Services,Capital Markets,NMS,91.87
ICE,Financial Services,Financial Data & Stock Exchanges,NYQ,91.77
ELV,Healthcare,Healthcare Plans,NYQ,91.77
PH,Industrials,Specialty Industrial Machinery,NYQ,91.04
INFY,Technology,Information Technology Services,NYQ,90.92
MCO,Financial Services,Financial Data & Stock Exchanges,NYQ,90.51
SHW,Basic Materials,Specialty Chemicals,NYQ,90.2
PYPL,Financial Services,Credit Services,NMS,88.8
WM,Industrials,Waste Management,NYQ,88.4
MO,Consumer Defensive,Tobacco,NYQ,88.3
EQIX,Real Estate,REIT - Specialty,NMS,88.16
PBR,Energy,Oil & Gas Integrated,NYQ,87.3
BTI,Consumer Defensive,Tobacco,NYQ,87.25
DUK,Utilities,Utilities - Regulated Electric,NYQ,86.51
AMT,Real Estate,REIT - Specialty,NYQ,86.43
APH,Technology,Electronic Components,NYQ,85.33
CME,Financial Services,Financial Data & Stock Exchanges,NMS,85.23
WELL,Real Estate,REIT - Healthcare Facilities,NYQ,84.98
MSTR,Technology,Software - Application,NMS,84.48
INTC,Technology,Semiconductors,NMS,84.13
HCA,Healthcare,Medical Care Facilities,NYQ,83.57
MMM,Industrials,Conglomerates,NYQ,83.29
ABNB,Consumer Cyclical,Travel Services,NMS,81.95
TT,Industrials,Building Products & Equipment,NYQ,81.63
CDNS,Technology,Software - Application,NMS,81.63
BP,Energy,Oil & Gas Integrated,NYQ,81.24
SNPS,Technology,Software - Infrastructure,NMS,81.23
CTAS,Industrials,Specialty Business Services,NMS,80.94
MAR,Consumer Cyclical,Lodging,NMS,80.75
CI,Healthcare,Healthcare Plans,NYQ,80.55
TEAM,Technology,Software - Application,NMS,80.38
AON,Financial Services,Insurance Brokers,NYQ,80.2
PNC,Financial Services,Banks - Regional,NYQ,79.56
CMG,Consumer Cyclical,Restaurants,NYQ,79.51
MSI,Technology,Communication Equipment,NYQ,78.42
DASH,Communication Services,Internet Content & Information,NMS,78.33
SAN,Financial Services,Banks - Diversified,NYQ,78.17
COF,Financial Services,Credit Services,NYQ,77.66
MDLZ,Consumer Defensive,Confectioners,NMS,77.54
FTNT,Technology,Software - Infrastructure,NMS,77.32
ZTS,Healthcare,Drug Manufacturers - Specialty & Generic,NYQ,77.1
RACE,Consumer Cyclical,Auto Manufacturers,NYQ,76.97
ITW,Industrials,Specialty Industrial Machinery,NYQ,76.53
TDG,Industrials,Aerospace & Defense,NYQ,75.84
TRI,Industrials,Specialty Business Services,NYQ,75.81
MCK,Healthcare,Medical Distribution,NYQ,75.5
AJG,Financial Services,Insurance Brokers,NYQ,75.4
CP,Industrials,Railroads,NYQ,74.95
ORLY,Consumer Cyclical,Specialty Retail,NMS,74.73
APD,Basic Materials,Specialty Chemicals,NYQ,74.55
USB,Financial Services,Banks - Regional,NYQ,74.54
EMR,Industrials,Specialty Industrial Machinery,NYQ,74.01
REGN,Healthcare,Biotechnology,NMS,73.95
BMO,Financial Services,Banks - Diversified,NYQ,73.11
COIN,Financial Services,Financial Data & Stock Exchanges,NMS,72.93
SCCO,Basic Materials,Copper,NYQ,72.42
DELL,Technology,Computer Hardware,NYQ,72.28
GSK,Healthcare,Drug Manufacturers - General,NYQ,71.96
BDX,Healthcare,Medical Instruments & Supplies,NYQ,71.81
RCL,Consumer Cyclical,Travel Services,NYQ,71.69
CVS,Healthcare,Healthcare Plans,NYQ,71.07
ECL,Basic Materials,Specialty Chemicals,NYQ,70.84
CL,Consumer Defensive,Household & Personal Products,NYQ,70.83
EPD,Energy,Oil & Gas Midstream,NYQ,70.77
EOG,Energy,Oil & Gas E&P,NYQ,70.75
NOC,Industrials,Aerospace & Defense,NYQ,70.54
MFG,Financial Services,Banks - Regional,NYQ,70.41
ET,Energy,Oil & Gas Midstream,NYQ,70.12
SE,Consumer Cyclical,Internet Retail,NYQ,69.95
WDAY,Technology,Software - Application,NMS,69.71
BNS,Financial Services,Banks - Diversified,NYQ,69.64
GD,Industrials,Aerospace & Defense,NYQ,69.47
RSG,Industrials,Waste Management,NYQ,67.91
WMB,Energy,Oil & Gas Midstream,NYQ,67.57
ADSK,Technology,Software - Application,NMS,67.1
CRH,Basic Materials,Building Materials,NYQ,67.04
DEO,Consumer Defensive,Beverages - Wineries & Distilleries,NYQ,66.65
NTES,Communication Services,Electronic Gaming & Multimedia,NMS,66.59
CNI,Industrials,Railroads,NYQ,66.39
CNQ,Energy,Oil & Gas E&P,NYQ,65.74
EQNR,Energy,Oil & Gas Integrated,NYQ,65.3
BBVA,Financial Services,Banks - Diversified,NYQ,65.28
SPG,Real Estate,REIT - Retail,NYQ,65.28
FDX,Industrials,Integrated Freight & Logistics,NYQ,63.79
NU,Financial Services,Banks - Regional,NYQ,63.64
CSX,Industrials,Railroads,NMS,63.39
TGT,Consumer Defensive,Discount Stores,NYQ,63.19
TFC,Financial Services,Banks - Regional,NYQ,62.67
JD,Consumer Cyclical,Internet Retail,NMS,62.49
HLT,Consumer Cyclical,Lodging,NYQ,62.42
ARES,Financial Services,Asset Management,NYQ,62.01
ROP,Technology,Software - Application,NMS,61.73
BK,Financial Services,Banks - Diversified,NYQ,61.67
KMI,Energy,Oil & Gas Midstream,NYQ,61.05
CM,Financial Services,Banks - Diversified,NYQ,60.46
NGG,Utilities,Utilities - Regulated Electric,NYQ,60.08
SNOW,Technology,Software - Application,NYQ,59.91
MET,Financial Services,Insurance - Life,NYQ,59.9
AFL,Financial Services,Insurance - Life,NYQ,59.65
CARR,Industrials,Building Products & Equipment,NYQ,59.19
TTD,Technology,Software - Application,NGM,58.58
PCAR,Industrials,Farm & Heavy Construction Machinery,NMS,58.15
NSC,Industrials,Railroads,NYQ,57.78
VST,Utilities,Utilities - Independent Power Producers,NYQ,57.17
OKE,Energy,Oil & Gas Midstream,NYQ,56.65
SLB,Energy,Oil & Gas Equipment & Services,NYQ,56.43
XYZ,Technology,Software - Infrastructure,NYQ,56.29
AZO,Consumer Cyclical,Specialty Retail,NYQ,56.22
CPRT,Industrials,Specialty Business Services,NMS,55.82
TRV,Financial Services,Insurance - Property & Casualty,NYQ,55.56
DLR,Real Estate,REIT - Specialty,NYQ,55.4
SQ,Technology,Software - Infrastructure,NYQ,53.9
ITUB,Financial Services,Banks - Regional,NYQ,53.19
PAYX,Technology,Software - Application,NMS,53.17
MFC,Financial Services,Insurance - Life,NYQ,53
NXPI,Technology,Semiconductors,NMS,53
MPLX,Energy,Oil & Gas Midstream,NYQ,52.99
BCS,Financial Services,Banks - Diversified,NYQ,52.85
FCX,Basic Materials,Copper,NYQ,52.65
SRE,Utilities,Utilities - Diversified,NYQ,52.53
AEP,Utilities,Utilities - Regulated Electric,NMS,52.38
PSA,Real Estate,REIT - Industrial,NYQ,52.29
AMP,Financial Services,Asset Management,NYQ,52.27
GWW,Industrials,Industrial Distribution,NYQ,51.75
JCI,Industrials,Building Products & Equipment,NYQ,51.49
HWM,Industrials,Aerospace & Defense,NYQ,51.42
ING,Financial Services,Banks - Diversified,NYQ,51.08
ALL,Financial Services,Insurance - Property & Casualty,NYQ,50.93
DFS,Financial Services,Credit Services,NYQ,50.54
LULU,Consumer Cyclical,Apparel Retail,NMS,50.44
LNG,Energy,Oil & Gas Midstream,NYQ,50.18
AXON,Industrials,Aerospace & Defense,NMS,49.73
ROST,Consumer Cyclical,Apparel Retail,NMS,49.67
URI,Industrials,Rental & Leasing Services,NYQ,49.51
COR,Healthcare,Medical Distribution,NYQ,49.28
GM,Consumer Cyclical,Auto Manufacturers,NYQ,49.25
NEM,Basic Materials,Gold,NYQ,49.06
CHTR,Communication Services,Telecom Services,NMS,49.04
CMI,Industrials,Specialty Industrial Machinery,NYQ,48.87
PSX,Energy,Oil & Gas Refining & Marketing,NYQ,48.68
DDOG,Technology,Software - Application,NMS,48.48
FANG,Energy,Oil & Gas E&P,NMS,47.99
O,Real Estate,REIT - Retail,NYQ,47.82
AEM,Basic Materials,Gold,NYQ,47.62
NET,Technology,Software - Infrastructure,NYQ,47.5
FLUT,Consumer Cyclical,Gambling,NYQ,47.42
WCN,Industrials,Waste Management,NYQ,47.41
MNST,Consumer Defensive,Beverages - Non-Alcoholic,NMS,47.37
NDAQ,Financial Services,Financial Data & Stock Exchanges,NMS,47.33
SU,Energy,Oil & Gas Integrated,NYQ,47.29
LYG,Financial Services,Banks - Regional,NYQ,47.01
TRP,Energy,Oil & Gas Midstream,NYQ,46.9
MPC,Energy,Oil & Gas Refining & Marketing,NYQ,46.83
MSCI,Financial Services,Financial Data & Stock Exchanges,NYQ,46.77
D,Utilities,Utilities - Regulated Electric,NYQ,46.7
RBLX,Communication Services,Electronic Gaming & Multimedia,NYQ,46.64
AIG,Financial Services,Insurance - Diversified,NYQ,45.95
HOOD,Financial Services,Capital Markets,NMS,45.92
TCOM,Consumer Cyclical,Travel Services,NMS,45.88
FICO,Technology,Software - Application,NYQ,45.8
BKR,Energy,Oil & Gas Equipment & Services,NMS,45.7
DHI,Consumer Cyclical,Residential Construction,NYQ,45.53
CTVA,Basic Materials,Agricultural Inputs,NYQ,45.46
PWR,Industrials,Engineering & Construction,NYQ,45.41
ALC,Healthcare,Medical Instruments & Supplies,NYQ,45.25
KR,Consumer Defensive,Grocery Stores,NYQ,44.6
GLW,Technology,Electronic Components,NYQ,44.54
CBRE,Real Estate,Real Estate Services,NYQ,44.29
TEL,Technology,Electronic Components,NYQ,44.15
VRT,Industrials,Electrical Equipment & Parts,NYQ,43.92
FIS,Technology,Information Technology Services,NYQ,43.86
HMC,Consumer Cyclical,Auto Manufacturers,NYQ,43.82
OXY,Energy,Oil & Gas E&P,NYQ,43.77
AMX,Communication Services,Telecom Services,NYQ,43.65
KDP,Consumer Defensive,Beverages - Non-Alcoholic,NMS,43.54
NWG,Financial Services,Banks - Regional,NYQ,43.44
DAL,Industrials,Airlines,NYQ,43.41
TAK,Healthcare,Drug Manufacturers - Specialty & Generic,NYQ,43.29
E,Energy,Oil & Gas Integrated,NYQ,43.2
EW,Healthcare,Medical Devices,NYQ,43.19
KMB,Consumer Defensive,Household & Personal Products,NYQ,43.12
PRU,Financial Services,Insurance - Life,NYQ,42.98
TRGP,Energy,Oil & Gas Midstream,NYQ,42.91
HES,Energy,Oil & Gas E&P,NYQ,42.84
HLN,Healthcare,Drug Manufacturers - Specialty & Generic,NYQ,42.82
AME,Industrials,Specialty Industrial Machinery,NYQ,42.69
CPNG,Consumer Cyclical,Internet Retail,NYQ,42.29
VLO,Energy,Oil & Gas Refining & Marketing,NYQ,42.11
FAST,Industrials,Industrial Distribution,NMS,41.99
IT,Technology,Information Technology Services,NYQ,41.87
PEG,Utilities,Utilities - Regulated Electric,NYQ,41.62
GRMN,Technology,Scientific & Technical Instruments,NYQ,41.45
CTSH,Technology,Information Technology Services,NMS,40.96
KVUE,Consumer Defensive,Household & Personal Products,NYQ,40.82
VRSK,Industrials,Consulting Services,NMS,40.59
GEHC,Healthcare,Health Information Services,NMS,40.34
HUBS,Technology,Software - Application,NYQ,40.24
LHX,Industrials,Aerospace & Defense,NYQ,40.21
EXC,Utilities,Utilities - Regulated Electric,NMS,40.19
VALE,Basic Materials,Other Industrial Metals & Mining,NYQ,40.09
F,Consumer Cyclical,Auto Manufacturers,NYQ,40.06
ARGX,Healthcare,Biotechnology,NMS,40.02
ODFL,Industrials,Trucking,NMS,39.63
DB,Financial Services,Banks - Regional,NYQ,39.16
STLA,Consumer Cyclical,Auto Manufacturers,NYQ,38.98
OWL,Financial Services,Asset Management,NYQ,38.85
CCI,Real Estate,REIT - Specialty,NYQ,38.8
XEL,Utilities,Utilities - Regulated Electric,NMS,38.59
WIT,Technology,Information Technology Services,NYQ,38.38
OTIS,Industrials,Specialty Industrial Machinery,NYQ,38.12
